level,outcome,treat,spec,est,se,t,p,ci_lo,ci_hi,n,r2,controls
sector,emp,prebreak,1,-0.5975815046448014,0.8170207401535224,-0.7314153426907042,0.4751022120826457,-2.1989421553457054,1.0037791460561025,18,0.03214684362538396,<e2><80><94>
sector,emp,prebreak,2,-0.5897539084332758,0.8118950674266386,-0.7263917864442069,0.4787813668036742,-2.1810682405894877,1.0015604237229359,18,0.032470629483859516,pretrend
sector,emp,prebreak,3,-1.0565468142971313,0.843385597412332,-1.2527446728267813,0.2308202526919746,-2.709582585225302,0.5964889566310394,18,0.25884329018051694,pretrend + catchup
sector,emp,initial,1,-1.2326893543550113,0.7611947365547052,-1.6194139228213396,0.12935158189023696,-2.7246310380022334,0.25925232929221087,15,0.13709593869562722,<e2><80><94>
sector,emp,initial,2,-1.1294976283113998,0.7243102645722699,-1.5594113235139737,0.14487055632888213,-2.549145746873049,0.2901504902502492,15,0.20043915774931612,pretrend
sector,emp,initial,3,-1.2974709416549877,0.8678753175546662,-1.494996937245265,0.1630399213522138,-2.9985065640621333,0.403564680752158,15,0.21354087350964743,pretrend + catchup
sector,emp,postbreak,1,-0.48895126849574905,0.8857346794169441,-0.5520290442027322,0.589059413552957,-2.2249912401529595,1.2470887031614613,17,0.020276904717878182,<e2><80><94>
sector,emp,postbreak,2,-0.476982222752924,0.8970117007904671,-0.5317458204085815,0.6032381270377307,-2.2351251563022396,1.2811607107963914,17,0.021024208369814477,pretrend
sector,emp,postbreak,3,-1.0779614547134366,0.9192591998368771,-1.1726414648933852,0.2619800154088881,-2.8797094863937156,0.7237865769668423,17,0.25354571157703676,pretrend + catchup
sector,emp,future,1,-0.6554035372951253,0.8199193343957698,-0.7993512407877508,0.4357936247790243,-2.2624454327108343,0.9516383581205835,18,0.03866888100885391,<e2><80><94>
sector,emp,future,2,-0.6482407824543511,0.8210404771790976,-0.7895357177535928,0.4421013936086585,-2.2574801177253825,0.9609985528166801,18,0.03901489629358487,pretrend
sector,emp,future,3,-1.1563241831661113,0.8265783429187401,-1.3989287199117775,0.18359707692997979,-2.7764177352868415,0.4637693689546192,18,0.2760983190291126,pretrend + catchup
sector,hours,prebreak,1,-0.5983735255591178,0.581938281750039,-1.0282422454828952,0.322588421982013,-1.7389725577891944,0.5422255066709587,15,0.04683151345711843,<e2><80><94>
sector,hours,prebreak,2,-0.6120656751192224,0.5740715793425332,-1.0661835512223106,0.3073224697570059,-1.7372459706305874,0.5131146203921426,15,0.04833402142626347,pretrend
sector,hours,prebreak,3,-0.9872201785419146,0.5563549935726607,-1.7744429185445647,0.10363420271535263,-2.0776759659443296,0.10323560886050043,15,0.2833221714638112,pretrend + catchup
sector,hours,initial,1,-0.938265628596086,0.49736013975234683,-1.886491404524861,0.08857229486222885,-1.9130915025106856,0.03656024531851376,12,0.13462907722474426,<e2><80><94>
sector,hours,initial,2,-0.8193167726596545,0.4358105227150939,-1.8799839149255086,0.0928086917712557,-1.6735053971812386,0.03487185186192954,12,0.25002453130021635,pretrend
sector,hours,initial,3,-0.8103758517389834,0.6112860443540865,-1.3256900909544966,0.22154571991223074,-2.0084964986729927,0.38774479519502614,12,0.2500786686047199,pretrend + catchup
sector,hours,postbreak,1,-0.5640512304724056,0.7842346296624053,-0.7192378519617483,0.48576572983048394,-2.10115110461072,0.9730486436659088,14,0.031821192266077616,<e2><80><94>
sector,hours,postbreak,2,-0.5675282898619602,0.8184609041732498,-0.6934091622070041,0.5024318426322885,-2.1717116620415298,1.0366550823176093,14,0.031890270052754736,pretrend
sector,hours,postbreak,3,-1.157799195702082,0.7975244404202861,-1.45174133483851,0.17721366419459184,-2.7209470989258424,0.40534870752167884,14,0.2886262405600925,pretrend + catchup
sector,hours,future,1,-0.6693052880057452,0.5630647097920701,-1.18868271508777,0.2558257258902882,-1.7729121191982027,0.4343015431867122,15,0.05637495421431136,<e2><80><94>
sector,hours,future,2,-0.6808874711174968,0.5721310150070639,-1.1900901249149902,0.2570233525401127,-1.802264260531342,0.4404893182963483,15,0.057763962237043165,pretrend
sector,hours,future,3,-1.0971205593878877,0.548653363358215,-1.9996606831544732,0.07084512831021025,-2.172481151569989,-0.021759967205786213,15,0.3045131127800673,pretrend + catchup
subsector,emp,prebreak,1,-1.4591751547393563,0.735283761599859,-1.9845061606752015,0.053457358514387446,-2.90033132747508,-0.018018982003632722,46,0.07716411113643168,<e2><80><94>
subsector,emp,prebreak,2,-1.8353088624558234,0.6653436229597667,-2.7584375939330292,0.008494855358341864,-3.139382363456966,-0.5312353614546808,46,0.29478285037186985,pretrend
subsector,emp,prebreak,3,-1.9438551590793807,0.7059029023159222,-2.753714643617404,0.00866936021361377,-3.3274248476185884,-0.5602854705401732,46,0.30513607394270265,pretrend + catchup
subsector,emp,initial,1,-1.8449145027821692,1.0243750373019724,-1.801014702233819,0.08143642354568378,-3.8526895758940354,0.1628605703296968,33,0.12084894362531577,<e2><80><94>
subsector,emp,initial,2,-3.108310035650306,0.6879988634743156,-4.517899956918091,9.053563766804569e-5,-4.456787808059965,-1.7598322632406476,33,0.6162802615489525,pretrend
subsector,emp,initial,3,-3.1918081301049153,0.6180053552192144,-5.164693320453089,1.604853135952811e-5,-4.403098626334575,-1.980517633875255,33,0.6440005380971688,pretrend + catchup
subsector,emp,postbreak,1,-1.3651197059776095,0.7243022468666438,-1.884737638027721,0.06623557995675738,-2.7847521098362313,0.05451269788101243,45,0.06722919024361941,<e2><80><94>
subsector,emp,postbreak,2,-1.7602268772672378,0.6409997122091532,-2.7460650039931522,0.008842016178796739,-3.0165863131971777,-0.5038674413372977,45,0.270841724663868,pretrend
subsector,emp,postbreak,3,-1.8858407074114383,0.6813442157439095,-2.76782375755906,0.00843122138693537,-3.2212753702695007,-0.5504060445533758,45,0.2828484120334856,pretrend + catchup
subsector,emp,future,1,-1.6755007693731196,0.8070767823789583,-2.076011608752236,0.04376765025786383,-3.257371262835878,-0.09363027591036133,46,0.10173953968250764,<e2><80><94>
subsector,emp,future,2,-2.0260300810318954,0.6275093011422792,-3.2286853395540676,0.002383452761203952,-3.2559483112707626,-0.7961118507930283,46,0.3213253106924556,pretrend
subsector,emp,future,3,-2.1500380079424657,0.6367773940226691,-3.3764358284771725,0.0015917821202350048,-3.398121700226897,-0.9019543156580343,46,0.33389023023429765,pretrend + catchup
subsector,hours,prebreak,1,-1.4406995380355743,1.2493712322788677,-1.153139676033457,0.2552229635697153,-3.8894671533021548,1.0080680772310062,45,0.06559805618855502,<e2><80><94>
subsector,hours,prebreak,2,-2.0905944989855523,1.2252095089175898,-1.7063159270062196,0.09533447104443624,-4.492005136464028,0.3108161384929238,45,0.2337285339356644,pretrend
subsector,hours,prebreak,3,-2.2306490166662902,1.2830804959036615,-1.7385105796462639,0.08962633200114577,-4.745486788637466,0.2841887553048861,45,0.25849094285277624,pretrend + catchup
subsector,hours,initial,1,-1.6843827160006681,1.4983498633083203,-1.1241584874453765,0.2695756333894866,-4.621148448084976,1.2523830160836396,33,0.09653195824095608,<e2><80><94>
subsector,hours,initial,2,-2.623199684994113,1.452353293549535,-1.8061718843787953,0.08093395559788709,-5.469812140351202,0.22341277036297535,33,0.35869160243100234,pretrend
subsector,hours,initial,3,-2.7375429239941225,1.4409788801132637,-1.8997800465881542,0.06744772662843154,-5.561861529016119,0.08677568102787436,33,0.4085071152436326,pretrend + catchup
subsector,hours,postbreak,1,-1.2927019549431333,0.9796401149564112,-1.3195682120475964,0.19396219617672322,-3.2127965802576997,0.6273926703714328,45,0.06114175697794852,<e2><80><94>
subsector,hours,postbreak,2,-1.6150961261375303,0.9392869469057766,-1.7194917181144929,0.09288752135210433,-3.4560985420728523,0.22590628979779193,45,0.19863258974688364,pretrend
subsector,hours,postbreak,3,-1.8080234701247533,1.0577428102773512,-1.7093223915657443,0.09495123855614106,-3.8811993782683616,0.265152438018855,45,0.22735762379739136,pretrend + catchup
