strata_value,title,emp,pretrend,catchup,hours,strata_type,prebreak,reads_prebreak,initial,reads_initial,postbreak,reads_postbreak,future,reads_future,z_prebreak,z_initial,z_postbreak,z_future,level
21,"Mining, quarrying, and oil and gas extraction",-4.298894937821007,3.1324928566355226,-13.458911223067993,-2.5296236026109753,sector,3.333333333333333,3,NA,NA,8.821428571428571,14,4.3875,8,-0.7394686709240043,NA,-1.0215019290013543,-0.8288726475429437,sector
22,Utilities,3.7443294248308057,-0.5011159377285068,6.1326684544734,5.6387297464594255,sector,10.05,4,NA,NA,13.826666666666666,15,10.61111111111111,9,0.46892899497772517,NA,-0.5258777468805097,0.09937970827354115,sector
23,Construction,2.667095580188139,3.5029756100559695,7.738973973360963,3.5178483561541185,sector,2.214814814814815,54,1.3384615384615384,13,10.435294117647059,17,3.5462962962962963,54,-0.9407016982757122,-0.895805412217914,-0.8616951873083801,-0.9543382824844414,sector
31,Manufacturing,-2.113750777078316,1.3034339594293698,0.642227896444858,-1.282990116446392,sector,3.185185185185185,54,2.4692307692307693,13,15.117647058823529,17,5.155555555555556,54,-0.7661220520301907,-0.6202498813783783,-0.3980434483272547,-0.71431706781375,sector
42,Wholesale trade,-1.233473631517512,0.58851405764905,3.9755931932102584,-0.3793942733686606,sector,3.588888888888889,54,2.2,13,15.711764705882352,17,5.727777777777778,54,-0.6934915885158325,-0.6858583411020772,-0.33921326536608176,-0.6289700536212949,sector
44,Retail trade,-0.5556783409492283,-0.7445668228418612,-0.11839765617338571,0.1139686207361379,sector,4.0055555555555555,54,3.076923076923077,13,13.882352941176471,17,5.622222222222222,54,-0.6185289541546831,-0.47216221514488643,-0.5203636307217726,-0.644713677598544,sector
48,Transportation and warehousing,-0.181491239142062,4.361272650469985,15.124743392436457,-0.1375454123257569,sector,1.9962264150943396,53,1.425,12,8.205882352941176,17,3.1648148148148145,54,-0.9800280077569156,-0.8747169787352964,-1.0824539926775343,-1.0112362919460782,sector
51,Information,-5.958419992996422,0.9075044108793051,3.373276106003953,-3.3844063432809435,sector,20.11111111111111,54,15.984615384615385,13,39.22352941176471,17,25.81111111111111,54,2.2790267393516137,2.673294796751308,1.9889475395429121,2.3664615609974,sector
52,Finance and insurance,-0.25289624327271554,1.3734124461851138,4.124895109978688,NA,sector,8.99074074074074,54,5.984615384615385,13,32.16470588235294,17,14.162962962962963,54,0.27835732006849173,0.23640914987106199,1.2899750687170943,0.6291388449114994,sector
53,Real estate and rental and leasing,-1.11412682171812,2.8212807677207152,6.140606094598056,NA,sector,9.03888888888889,54,7.230769230769231,13,25.058823529411764,17,12.414814814814815,54,0.2870196689280025,0.5400825920207541,0.5863427814191049,0.36840233553390156,sector
54,"Professional, scientific, and technical services",0.13394546966178922,2.538520972433389,12.411159163900365,0.7293221079528678,sector,15.340740740740742,54,10.8,13,35.81764705882353,17,20.36111111111111,54,1.4207878677324097,1.4098633152149345,1.6516933223694552,1.5535933966983846,sector
55,Management of companies and enterprises,-0.02930104294458502,2.3399246143368657,3.8813443888037646,-1.3693849202294217,sector,17.3375,8,NA,NA,NA,NA,19.1875,8,1.7800254699542286,NA,NA,1.3785491564250238,sector
56,Administrative and support and waste management services,-2.6806919622726966,1.0253727156776193,-0.5990706137616542,-1.5415835188525406,sector,5.761111111111111,54,4.138461538461539,13,17.58823529411765,17,8.157407407407407,54,-0.3026863880463734,-0.21347743109144487,-0.15340308353821838,-0.26659049821514225,sector
61,Educational services,3.3560843210397096,1.1325505340226272,4.432532882799656,NA,sector,11.546296296296296,54,8.107692307692307,13,31.441176470588236,17,15.464814814814813,54,0.7381281441502083,0.7537787179779449,1.218330390457448,0.8233102072975704,sector
62,Health care and social assistance,7.903021994763826,2.2741372237798885,7.341326078499222,5.647693416282706,sector,6.624074074074073,54,4.507692307692308,13,21.423529411764704,17,9.60925925925926,54,-0.1474304431028373,-0.1235001148989436,0.22637195894380877,-0.050046617545611766,sector
71,"Arts, entertainment, and recreation",4.7676171762261355,2.350827021551787,4.824190975882825,5.533490680798536,sector,6.090740740740741,54,4.246153846153846,13,18.258823529411764,17,8.374074074074073,54,-0.24338261508510842,-0.1872340472019654,-0.08700069880976598,-0.2342746384723679,sector
72,Accommodation and food services,1.0262779745190187,1.612780730403145,-0.10775491720718122,0.9803804700206697,sector,1.8,54,1.4230769230769231,13,8.211764705882354,17,2.975925925925926,54,-1.0153311653730341,-0.8751856105904655,-1.0818715156185126,-1.039409092747471,sector
81,Other services (except public administration),2.0751746611319177,1.0570581095252862,0.25856054191955025,1.9194953530519143,sector,2.9685185185185183,54,2.2846153846153845,13,10.147058823529411,17,4.272222222222222,54,-0.8051026218979884,-0.6652385394746291,-0.8902365632004344,-0.8460663421496761,sector
