ind,naics3,ambiguous,assignment,desc,naics_raw,note
4490,424,FALSE,auto,Petroleum and petroleum products merchant wholesalers,4247,""
4560,424,FALSE,auto,Alcoholic beverages merchant wholesalers,4248,""
4570,424,FALSE,auto,Farm supplies merchant wholesalers,42491,""
4580,424,FALSE,auto,Miscellaneous nondurable goods merchant wholesalers,4249 exc. 42491,""
4585,425,FALSE,auto,Wholesale electronic markets and agents and brokers,4251,""
4590,,TRUE,auto,Not specified wholesale trade,Part of 42,""
4670,441,FALSE,auto,Automobile dealers,4411,""
4680,441,FALSE,auto,Other motor vehicle dealers,4412,""
4690,441,FALSE,auto,"Automotive parts, accessories, and tire stores",4413,""
4770,442,FALSE,auto,Furniture and home furnishings stores,442,""
4780,443,FALSE,auto,Household appliance stores,443141,""
4795,443,FALSE,auto,Electronics Stores,443142,""
4870,444,FALSE,auto,Building material and supplies dealers,4441 exc. 44413,""
4880,444,FALSE,auto,Hardware stores,44413,""
4890,444,FALSE,auto,Lawn and garden equipment and supplies stores,4442,""
4971,445,FALSE,auto,Supermarkets and other grocery (except convenience) stores,44511,""
4972,445,FALSE,auto,Convenience Stores,44512,""
4980,445,FALSE,auto,Specialty food stores,4452,""
4990,445,FALSE,auto,"Beer, wine, and liquor stores",4453,""
5070,446,FALSE,auto,Pharmacies and drug stores,44611,""
5080,446,FALSE,auto,"Health and personal care, except drug, stores",446 exc. 44611,""
5090,447,FALSE,auto,Gasoline stations,447,""
5170,448,FALSE,auto,Clothing stores,4481,""
5180,448,FALSE,auto,Shoe stores,44821,""
5190,448,FALSE,auto,"Jewelry, luggage, and leather goods stores",4483,""
5275,451,FALSE,auto,"Sporting goods, and hobby and toy stores","45111, 45112",""
5280,451,FALSE,auto,"Sewing, needlework, and piece goods stores",45113,""
5295,451,FALSE,auto,Musical instrument and supplies stores,45114,""
5370,451,FALSE,auto,Book stores and news dealers,45121,""
5381,452,FALSE,auto,Department stores,45221,""
5391,452,FALSE,auto,"General merchandise stores, including warehouse clubs and supercenters",4523,""
5470,453,FALSE,auto,Florists,4531,""
5480,453,FALSE,auto,Office supplies and stationery stores,45321,""
5490,453,FALSE,auto,Used merchandise stores,4533,""
5570,453,FALSE,auto,"Gift, novelty, and souvenir shops",45322,""
5580,453,FALSE,auto,Miscellaneous retail stores,4539,""
5593,454,FALSE,auto,Electronic shopping and mail-order houses,454110,""
5670,454,FALSE,auto,Vending machine operators,4542,""
5680,454,FALSE,auto,Fuel dealers,454310,""
5690,454,FALSE,auto,Other direct selling establishments,45439,""
5790,,TRUE,auto,Not specified retail trade,"Part of 44, 45",""
6070,481,FALSE,auto,Air transportation,481,""
6080,482,FALSE,auto,Rail transportation,482,""
6090,483,FALSE,auto,Water transportation,483,""
6170,484,FALSE,auto,Truck transportation,484,""
6180,485,FALSE,auto,Bus service and urban transit,"4851, 4852, 4854, 4855, 4859",""
6190,485,FALSE,auto,Taxi and limousine service,4853,""
6270,486,FALSE,auto,Pipeline transportation,486,""
6280,487,FALSE,auto,Scenic and sightseeing transportation,487,""
6290,488,FALSE,auto,Services incidental to transportation,488,""
6370,491,FALSE,auto,Postal Service,491,""
6380,492,FALSE,auto,Couriers and messengers,492,""
6390,493,FALSE,auto,Warehousing and storage,493,""
6470,511,FALSE,auto,Newspaper publishers,51111,""
6480,511,FALSE,auto,"Periodical, book, and directory publishers",5111 exc. 51111,""
6490,511,FALSE,auto,Software publishers,5112,""
6570,512,FALSE,auto,Motion pictures and video industries,5121,""
6590,512,FALSE,auto,Sound recording industries,5122,""
6670,515,FALSE,auto,Broadcasting (except internet),515,""
6672,519,FALSE,auto,Internet publishing and broadcasting and web search portals,51913,""
6680,517,FALSE,auto,Wired telecommunications carriers,517311,""
6690,517,FALSE,auto,"Telecommunications, except wired telecommunications carriers",517 exc. 517311,""
6695,518,FALSE,auto,"Data processing, hosting, and related services",5182,""
6770,519,FALSE,auto,Libraries and archives,51912,""
6780,519,FALSE,auto,"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals","5191 exc. 51912, 51913",""
