occ2010,estimate,p.value
10,-0.021437262547208718,0.40141657379712026
50,0.010946904904571082,0.1715978228741593
120,0.002917592556800068,0.7038651623953407
136,0.026181059631295807,0.2064847786674291
150,-0.009026503061971154,0.269857955533241
205,-0.002986011744838186,0.9447838019987698
230,0.016087275918116466,0.015797788145987885
310,0.007321595696967338,0.18797469884949736
350,0.0035838352012098782,0.5059667349166925
410,0.018661199968362678,0.012931114719911721
420,0.013905760912704975,0.033576148423537414
430,0.036816375999604634,0.0014913927882661197
500,0.015537739416586208,0.593378995697744
510,-0.04597229282051815,0.20461889657034812
520,0.018837658910420534,0.08368098187107853
530,0.03518029188739121,2.7381868845726765e-4
540,0.011922710943680874,0.22971537052549157
565,-0.009829546435363401,0.4159493855910854
630,0.0061748896698121565,0.5369675569712238
710,0.008661317191722258,0.5513457779627124
735,0.041217006623802475,0.006602437594014544
740,-0.01703800258811736,0.27639640242562685
800,0.012830327311655482,0.00980053405443733
860,0.008399987110795041,0.5830024284866038
910,0.03418777481514198,0.007467176999265525
1006,0.03376375505644193,0.021401358885525405
1010,0.023032079257483313,0.031924639854005316
1200,0.031772037177569115,0.3331965369147232
1220,-0.020351857427813754,0.06917030484636728
1240,0.03521940696458541,0.05982973872208804
1300,0.054421356190077604,0.003575830335306331
1310,-0.03733391039337604,0.20796902302464962
1320,-0.019051626891945155,0.1868906781430787
1340,0.017830147914940305,0.7772464428725566
1350,0.020834173242146026,0.2194794106760734
1360,0.030968979101667383,0.001239220381040931
1410,0.01971813100007942,0.06667757200939511
1430,0.018696531403587034,0.06263036224713134
1440,-0.012840486817559345,0.7353962732360293
1450,0.04535644909813629,0.0837470013014238
1460,0.0179731579617888,0.013752235713770397
1520,-0.04437168954967223,0.082126840019121
1530,0.01435821946078715,0.26340603322013056
1540,0.024458624889346678,0.07034248612127136
1550,0.03353380202818519,3.8983793640963926e-4
1560,0.05101098135031601,0.01859556987228508
1600,0.031424707799014726,0.16671096937971444
1610,-0.002336488459833102,0.8429435884183001
1640,-0.03362375685760749,0.16533823163753067
1650,0.0163676454701547,0.3244147974352707
1700,0.1104709899679423,1.0206185977257567e-4
1710,0.019651343846184204,0.6057809076301177
1720,0.006674828918956427,0.6152866981387131
1740,0.024153566548392364,0.03895866502924293
1820,0.014018730036817037,0.36091845786893595
1840,0.061606679924771805,0.006929643836695185
1860,-0.041545899237489935,0.075225501963916655
1900,-0.02576784033475003,0.2809940180891057
1920,0.02605050236806078,0.1118789987719182
1965,0.004460859629619462,0.7854764170022491
2000,-0.0017478031626072615,0.8209473552790567
2010,0.0027651470061255947,0.5726330162648183
2016,0.013129367130550245,0.35282549008067965
2040,-0.004684406601984607,0.43163634534958173
2060,0.020707490519496167,0.4487401156355222
2100,0.008066646530452982,0.08847365407594734
2145,0.01861050524608729,0.06253196861337432
2160,-0.009467205029049842,0.6241303093716603
2200,-4.1962474066765514e-6,0.999164358128648
2300,0.004289610934046907,0.5636538416625541
2310,0.009648916695804682,0.07261081922666401
2320,-0.005778501681930391,0.2831972062116397
2330,0.010196318569051151,0.3176231606378101
2340,0.009633606513399482,0.07763208732997802
2400,0.031495974355583364,0.11063194829076768
2430,0.013478736672556547,0.19671926503260043
2540,-0.0015368295584007386,0.8172344864308554
2600,0.03487792258180117,0.008473982606564578
2630,0.031345047074861625,0.0022130323826450656
2710,0.008804246607075452,0.5853388335352155
2720,0.02443282734997575,0.02230600833255455
2740,0.10987598229350516,3.3464238886556193e-6
2750,0.007110557472103173,0.5862475286944302
2800,0.028410648676038396,0.11212581408490993
2825,0.008388812529628007,0.5646588053430788
2830,0.00262752982695768,0.7331979310239767
2840,0.007497365954836418,0.605246667563097
2850,0.022587394384360835,0.12234820341863764
2860,-0.0043768311133772836,0.8016243933572929
2900,-0.0053804893612304965,0.7470469268221395
2910,-0.012106613895709195,0.4258818887721165
3000,0.007656626291686371,0.8242131457471773
3010,-0.00476729944179622,0.8490955671642548
