naics,adopt,n_src,pooled,adopt_z,metric,exposure,exposure_z
221,10.05,1,FALSE,0.421501831380109,AIOE,0.117663786384564,0.130893374734306
311,4.47222222222222,1,FALSE,-0.494109484044238,AIOE,-0.384582527656132,-0.367450386628003
312,7.63684210526316,1,FALSE,0.0253737025167659,AIOE,-0.05102930871352,-0.0364889418240541
321,3.73333333333333,1,FALSE,-0.615400624434117,AIOE,-0.555119532907188,-0.536662285794651
323,5.5325,1,FALSE,-0.32006125740207,AIOE,-0.0190663275422186,-0.00477431930525439
325,7.84,1,FALSE,0.0587227663643667,AIOE,0.266547604493371,0.278620336283123
326,5.6,1,FALSE,-0.308980901343897,AIOE,-0.304343432114623,-0.287834764646106
332,1.86363636363636,1,FALSE,-0.922317782139742,AIOE,-0.34408311878444,-0.32726566613161
333,4.20434782608696,1,FALSE,-0.538081983126414,AIOE,-0.0756323941293866,-0.0609008564255173
334,7.712,1,FALSE,0.0377111282096086,AIOE,0.529971288826591,0.539997166759765
335,14.7,1,FALSE,1.18481524872092,AIOE,-0.0599573636707781,-0.0453476240376753
336,5,1,FALSE,-0.407472955194325,AIOE,-0.053807227512393,-0.039245275647297
337,6.36,1,FALSE,-0.184224299800021,AIOE,-0.562184700178141,-0.543672555325819
339,5.41538461538462,1,FALSE,-0.33928614868249,AIOE,0.104839813797922,0.118169046937812
423,3.58888888888889,1,FALSE,-0.639111674435145,AIOE,0.376128756700206,0.387350021376928
424,3.14444444444444,1,FALSE,-0.712068751361388,AIOE,0.152238226045482,0.165199164196445
425,4.59807692307692,1,FALSE,-0.47345000408772,AIOE,0.887344762585924,0.894593778313811
441,3.79622641509434,1,FALSE,-0.605076509774742,AIOE,-0.117958194893711,-0.10289777739019
444,2.17142857142857,1,FALSE,-0.871792637632055,AIOE,-0.123432875531422,-0.108329918682188
445,1.3,1,FALSE,-1.0148406206053,AIOE,-0.369307167080546,-0.352293718609556
484,1.48717948717949,1,FALSE,-0.984114467053667,AIOE,-0.76953984283625,-0.749416507727801
485,5.0625,1,FALSE,-0.397213366251572,AIOE,-0.0934535612081562,-0.0785835495297227
488,3.56666666666667,1,FALSE,-0.642759528281458,AIOE,-0.188693588700373,-0.173083543269597
492,8.86666666666667,1,FALSE,0.227253614063987,AIOE,-0.808312832002403,-0.787888223139445
512,17.9648148148148,1,FALSE,1.72074577630828,AIOE,0.462167980287548,0.472720703268552
517,10.8052631578947,1,FALSE,0.545480864077797,AIOE,0.477771427973937,0.488202909096397
518,25.6166666666667,1,FALSE,2.97682345072176,AIOE,1.01602585780529,1.02227499610497
519,24.1944444444445,1,FALSE,2.74336080455779,AIOE,0.941116511253771,0.947947709914776
522,7.04814814814815,1,FALSE,-0.0712624256925559,AIOE,1.13779982568768,1.14310275629757
523,12.6592592592593,1,FALSE,0.84982067050126,AIOE,1.09173068945463,1.09739158631728
524,6.75185185185185,1,FALSE,-0.119900476976718,AIOE,1.16453512707873,1.16963031913657
531,9.60555555555556,1,FALSE,0.348544754453866,AIOE,0.74738949293122,0.755725988640895
532,4.33333333333333,1,FALSE,-0.516908570583689,AIOE,0.232604862779291,0.244941336350484
541,15.3407407407407,1,FALSE,1.28999503462292,AIOE,0.983591691048635,0.99009284920553
551,17.4625,1,FALSE,1.6382890799906,AIOE,0.944405931407475,0.951211570626683
561,5.98333333333333,1,FALSE,-0.246055422495013,AIOE,-0.424291684933259,-0.406850995940205
562,5.03333333333333,1,FALSE,-0.402001174424857,AIOE,-0.47038441408433,-0.452585575516906
611,11.5462962962963,1,FALSE,0.667123990365126,AIOE,0.747427608310792,0.755763807856468
621,7.0537037037037,1,FALSE,-0.070350462230978,AIOE,0.262636322972588,0.274739446189311
623,3.73636363636364,1,FALSE,-0.61490318981871,AIOE,-0.261481832879325,-0.24530620847
624,5.89259259259259,1,FALSE,-0.260950825700787,AIOE,0.361694426163276,0.373027848428263
711,7.37037037037037,1,FALSE,-0.0183685449210296,AIOE,0.404573933132167,0.415574173191349
712,8.28214285714286,1,FALSE,0.131302029856527,AIOE,0.0496741160207015,0.0634319974863179
713,4.30740740740741,1,FALSE,-0.521164400071053,AIOE,-0.261880303081453,-0.245701582480257
721,2.65,1,FALSE,-0.793233499441833,AIOE,-0.280212885343992,-0.263891716971632
722,1.67222222222222,1,FALSE,-0.953739068679567,AIOE,-0.59573011026,-0.576957310971193
811,2.11666666666667,1,FALSE,-0.880781991753325,AIOE,-0.592632200220614,-0.573883472302336
812,3.87777777777778,1,FALSE,-0.591689574433087,AIOE,-0.379992462332795,-0.362895987015336
221,10.05,1,FALSE,0.421501831380109,ai_applicability_score,0.175441670411718,0.0751060532140348
311,4.47222222222222,1,FALSE,-0.494109484044238,ai_applicability_score,0.138329364211415,-0.293268738919736
312,7.63684210526316,1,FALSE,0.0253737025167659,ai_applicability_score,0.170736970170432,0.0284074469867237
321,3.73333333333333,1,FALSE,-0.615400624434117,ai_applicability_score,0.132150129008076,-0.354603501337631
323,5.5325,1,FALSE,-0.32006125740207,ai_applicability_score,0.184478720275373,0.164807333082211
325,7.84,1,FALSE,0.0587227663643667,ai_applicability_score,0.175584530060427,0.0765240705453657
326,5.6,1,FALSE,-0.308980901343897,ai_applicability_score,0.148099200599094,-0.196293858698932
332,1.86363636363636,1,FALSE,-0.922317782139742,ai_applicability_score,0.155161380191809,-0.126195036883953
333,4.20434782608696,1,FALSE,-0.538081983126414,ai_applicability_score,0.169625239214625,0.0173724642092119
334,7.712,1,FALSE,0.0377111282096086,ai_applicability_score,0.203685241139219,0.355450245237705
335,14.7,1,FALSE,1.18481524872092,ai_applicability_score,0.166464408071624,-0.0140017788515251
336,5,1,FALSE,-0.407472955194325,ai_applicability_score,0.161380563476211,-0.0644637519223437
337,6.36,1,FALSE,-0.184224299800021,ai_applicability_score,0.139441035062367,-0.28223435273984
339,5.41538461538462,1,FALSE,-0.33928614868249,ai_applicability_score,0.172314161041627,0.0440625603120986
423,3.58888888888889,1,FALSE,-0.639111674435145,ai_applicability_score,0.207314140964082,0.391470513324614
424,3.14444444444444,1,FALSE,-0.712068751361388,ai_applicability_score,0.190443640789549,0.224014819209438
425,4.59807692307692,1,FALSE,-0.47345000408772,ai_applicability_score,0.239122059781964,0.707194236326485
441,3.79622641509434,1,FALSE,-0.605076509774742,ai_applicability_score,0.194864960215881,0.267900602427594
444,2.17142857142857,1,FALSE,-0.871792637632055,ai_applicability_score,0.223161429125553,0.548769859014918
445,1.3,1,FALSE,-1.0148406206053,ai_applicability_score,0.198487865339682,0.303861367428215
484,1.48717948717949,1,FALSE,-0.984114467053667,ai_applicability_score,0.14427307209388,-0.234271808255023
485,5.0625,1,FALSE,-0.397213366251572,ai_applicability_score,0.186515065075261,0.185019984064411
488,3.56666666666667,1,FALSE,-0.642759528281458,ai_applicability_score,0.174010070749992,0.0608960705478904
492,8.86666666666667,1,FALSE,0.227253614063987,ai_applicability_score,0.144014991095577,-0.236833506619723
512,17.9648148148148,1,FALSE,1.72074577630828,ai_applicability_score,0.199873084977803,0.317610984428533
517,10.8052631578947,1,FALSE,0.545480864077797,ai_applicability_score,0.248642165806163,0.801690306143003
518,25.6166666666667,1,FALSE,2.97682345072176,ai_applicability_score,0.269440481121864,1.00813328599457
519,24.1944444444445,1,FALSE,2.74336080455779,ai_applicability_score,0.25062898063323,0.821411325229742
522,7.04814814814815,1,FALSE,-0.0712624256925559,ai_applicability_score,0.242152841919826,0.737277619827689
523,12.6592592592593,1,FALSE,0.84982067050126,ai_applicability_score,0.259590223924133,0.910360153058711
524,6.75185185185185,1,FALSE,-0.119900476976718,ai_applicability_score,0.233572673225313,0.652111318325031
531,9.60555555555556,1,FALSE,0.348544754453866,ai_applicability_score,0.210713378648073,0.425211167125404
532,4.33333333333333,1,FALSE,-0.516908570583689,ai_applicability_score,0.208341220095162,0.401665246558771
541,15.3407407407407,1,FALSE,1.28999503462292,ai_applicability_score,0.2332741665387,0.649148356712292
551,17.4625,1,FALSE,1.6382890799906,ai_applicability_score,0.222875768905374,0.545934410749824
561,5.98333333333333,1,FALSE,-0.246055422495013,ai_applicability_score,0.147196125911784,-0.205257730370598
562,5.03333333333333,1,FALSE,-0.402001174424857,ai_applicability_score,0.13857302354242,-0.290850189263299
611,11.5462962962963,1,FALSE,0.667123990365126,ai_applicability_score,0.213214196991057,0.450034157976176
621,7.0537037037037,1,FALSE,-0.070350462230978,ai_applicability_score,0.144752670297776,-0.229511341801804
623,3.73636363636364,1,FALSE,-0.61490318981871,ai_applicability_score,0.114658248031888,-0.528226988486466
624,5.89259259259259,1,FALSE,-0.260950825700787,ai_applicability_score,0.193338077927614,0.2527448494405
711,7.37037037037037,1,FALSE,-0.0183685449210296,ai_applicability_score,0.222643130953984,0.543625258725609
712,8.28214285714286,1,FALSE,0.131302029856527,ai_applicability_score,0.205119324520808,0.369684881176094
713,4.30740740740741,1,FALSE,-0.521164400071053,ai_applicability_score,0.201576372596434,0.334517727412131
721,2.65,1,FALSE,-0.793233499441833,ai_applicability_score,0.159931143064043,-0.0788506224165965
722,1.67222222222222,1,FALSE,-0.953739068679567,ai_applicability_score,0.196772486118917,0.286834603840175
811,2.11666666666667,1,FALSE,-0.880781991753325,ai_applicability_score,0.126525840910639,-0.410429888078772
812,3.87777777777778,1,FALSE,-0.591689574433087,ai_applicability_score,0.144263763151758,-0.23436420832309
221,10.05,1,FALSE,0.421501831380109,dv_rating_beta,0.366421317139837,0.131714218798987
311,4.47222222222222,1,FALSE,-0.494109484044238,dv_rating_beta,0.269427423658931,-0.292986092245699
312,7.63684210526316,1,FALSE,0.0253737025167659,dv_rating_beta,0.342903986879341,0.0287405457343073
321,3.73333333333333,1,FALSE,-0.615400624434117,dv_rating_beta,0.248851853373131,-0.383078888675417
323,5.5325,1,FALSE,-0.32006125740207,dv_rating_beta,0.393735829690776,0.2513143457771
325,7.84,1,FALSE,0.0587227663643667,dv_rating_beta,0.3964685006856,0.26327969926312
326,5.6,1,FALSE,-0.308980901343897,dv_rating_beta,0.291063638031373,-0.198249128463393
332,1.86363636363636,1,FALSE,-0.922317782139742,dv_rating_beta,0.294363980134319,-0.183798153588868
333,4.20434782608696,1,FALSE,-0.538081983126414,dv_rating_beta,0.343247278386386,0.0302436920107219
334,7.712,1,FALSE,0.0377111282096086,dv_rating_beta,0.477234205583274,0.616922787098727
335,14.7,1,FALSE,1.18481524872092,dv_rating_beta,0.351608502439466,0.066854393247873
336,5,1,FALSE,-0.407472955194325,dv_rating_beta,0.339418672657524,0.0134796465068142
337,6.36,1,FALSE,-0.184224299800021,dv_rating_beta,0.258178451831267,-0.342241170711875
339,5.41538461538462,1,FALSE,-0.33928614868249,dv_rating_beta,0.372760732683319,0.159472169908438
423,3.58888888888889,1,FALSE,-0.639111674435145,dv_rating_beta,0.451084989313662,0.50242506064685
424,3.14444444444444,1,FALSE,-0.712068751361388,dv_rating_beta,0.407636576321369,0.312180563287258
425,4.59807692307692,1,FALSE,-0.47345000408772,dv_rating_beta,0.532726800351077,0.859904292560223
441,3.79622641509434,1,FALSE,-0.605076509774742,dv_rating_beta,0.350328193061021,0.0612483929962586
444,2.17142857142857,1,FALSE,-0.871792637632055,dv_rating_beta,0.353733747790563,0.0761600549680609
445,1.3,1,FALSE,-1.0148406206053,dv_rating_beta,0.283263082921268,-0.232404868198029
484,1.48717948717949,1,FALSE,-0.984114467053667,dv_rating_beta,0.328227936456792,-0.0355204397326946
485,5.0625,1,FALSE,-0.397213366251572,dv_rating_beta,0.290908528365272,-0.198928296203495
488,3.56666666666667,1,FALSE,-0.642759528281458,dv_rating_beta,0.359050066055118,0.0994382422800648
492,8.86666666666667,1,FALSE,0.227253614063987,dv_rating_beta,0.301889103921514,-0.150848425535104
512,17.9648148148148,1,FALSE,1.72074577630828,dv_rating_beta,0.447375270778135,0.486181578099809
517,10.8052631578947,1,FALSE,0.545480864077797,dv_rating_beta,0.485885315953739,0.65480279308015
518,25.6166666666667,1,FALSE,2.97682345072176,dv_rating_beta,0.656239170403022,1.40071918405907
519,24.1944444444445,1,FALSE,2.74336080455779,dv_rating_beta,0.564446213027247,0.998791844613962
522,7.04814814814815,1,FALSE,-0.0712624256925559,dv_rating_beta,0.558427543564786,0.972438321716302
523,12.6592592592593,1,FALSE,0.84982067050126,dv_rating_beta,0.543417568042088,0.906715201997242
524,6.75185185185185,1,FALSE,-0.119900476976718,dv_rating_beta,0.579717349830591,1.06565849278767
531,9.60555555555556,1,FALSE,0.348544754453866,dv_rating_beta,0.429205084510622,0.406621066787091
532,4.33333333333333,1,FALSE,-0.516908570583689,dv_rating_beta,0.434658731143729,0.430500564127447
541,15.3407407407407,1,FALSE,1.28999503462292,dv_rating_beta,0.550653447192086,0.938398434986456
551,17.4625,1,FALSE,1.6382890799906,dv_rating_beta,0.550710820582033,0.938649651796933
561,5.98333333333333,1,FALSE,-0.246055422495013,dv_rating_beta,0.261811051658036,-0.326335362408246
562,5.03333333333333,1,FALSE,-0.402001174424857,dv_rating_beta,0.322557942795219,-0.0603472405267619
611,11.5462962962963,1,FALSE,0.667123990365126,dv_rating_beta,0.388752455105082,0.229493995437073
621,7.0537037037037,1,FALSE,-0.070350462230978,dv_rating_beta,0.364084623064651,0.121482701484515
623,3.73636363636364,1,FALSE,-0.61490318981871,dv_rating_beta,0.24939193987097,-0.380714050071755
624,5.89259259259259,1,FALSE,-0.260950825700787,dv_rating_beta,0.303953534317175,-0.141809049965138
711,7.37037037037037,1,FALSE,-0.0183685449210296,dv_rating_beta,0.475796777780525,0.610628823499337
712,8.28214285714286,1,FALSE,0.131302029856527,dv_rating_beta,0.347595718461783,0.0492838994537169
713,4.30740740740741,1,FALSE,-0.521164400071053,dv_rating_beta,0.274502315346129,-0.270765022436854
