occ2010,cyclicality_beta,cyclicality_p
0010,-0.0214372625472087,0.40141657379712
0020,0.00291536983012081,0.817474708849711
0040,-0.0150697688407709,0.428094103229729
0050,0.0109469049045711,0.171597822874159
0060,-0.0191042540160701,0.16744175477472
0100,-0.000861566112787697,0.962936674387181
0110,-0.017980704631844,0.125389751065928
0120,0.00291759255680007,0.703865162395341
0136,0.0261810596312958,0.206484778667429
0140,0.0260548893965059,0.00538109539182461
0150,-0.00902650306197115,0.269857955533241
0160,0.0142856101920488,0.108815169461532
0205,-0.00298601174483819,0.94478380199877
0220,0.0419068196928001,0.000759448120417563
0230,0.0160872759181165,0.0157977881459879
0300,0.0124099550512141,0.376558634357007
0310,0.00732159569696734,0.187974698849497
0330,-0.0932601226669253,0.0343755424391787
0340,0.0108132994149739,0.408879059882744
0350,0.00358383520120988,0.505966734916693
0360,-0.0610313437904952,0.192179200692431
0410,0.0186611999683627,0.0129311147199117
0420,0.013905760912705,0.0335761484235374
0430,0.0368163759996046,0.00149139278826612
0500,0.0155377394165862,0.593378995697744
0510,-0.0459722928205182,0.204618896570348
0520,0.0188376589104205,0.0836809818710785
0530,0.0351802918873912,0.000273818688457268
0540,0.0119227109436809,0.229715370525492
0565,-0.0098295464353634,0.415949385591085
0600,-0.00169539423993578,0.884665255899597
0630,0.00617488966981216,0.536967556971224
0700,-0.00101165714130305,0.93826534012027
0710,0.00866131719172226,0.551345777962712
0725,-0.0495907604891384,0.0583794571120911
0735,0.0412170066238025,0.00660243759401454
0740,-0.0170380025881174,0.276396402425627
0800,0.0128303273116555,0.00980053405443733
0810,0.0291448134391195,0.189942674945794
0820,0.000761727464181042,0.966044118102622
0830,0.0330771237776722,0.220653757200354
0840,0.0691466437344561,0.0900443580383269
0850,0.0168451644726231,0.174817537798397
0860,0.00839998711079504,0.583002428486604
0900,0.0298904369214472,0.481007606693226
0910,0.034187774815142,0.00746717699926553
0930,-0.0277114417730008,0.131259131433556
0940,-0.013765489071425,0.317648216160981
0950,-0.121091280586788,0.0185566608236525
1006,0.0337637550564419,0.0214013588855254
1010,0.0230320792574833,0.0319246398540053
1020,0.0197389843470835,0.0155798515147846
1030,-0.0101910154798057,0.407283831308035
1050,-0.0179103996872646,0.0186693442589035
1060,-0.0100094377988144,0.549093959285182
1105,-0.00827440462138619,0.445910718121982
1200,0.0317720371775691,0.333196536914723
1220,-0.0203518574278137,0.0691703048463673
1240,0.0352194069645854,0.059829738722088
1300,0.0544213561900776,0.00357583033530633
1310,-0.037333910393376,0.20796902302465
1320,-0.0190516268919452,0.186890678143079
1340,0.0178301479149403,0.777246442872557
1350,0.020834173242146,0.219479410676073
1360,0.0309689791016674,0.00123922038104093
1400,0.0190346581412368,0.251170401067319
1410,0.0197181310000794,0.0666775720093951
1420,0.0174500045333563,0.447258531490541
1430,0.018696531403587,0.0626303622471313
1440,-0.0128404868175593,0.735396273236029
1450,0.0453564490981363,0.0837470013014238
1460,0.0179731579617888,0.0137522357137704
1520,-0.0443716895496722,0.082126840019121
1530,0.0143582194607872,0.263406033220131
1540,0.0244586248893467,0.0703424861212714
