naics,primary,alternate
111,-0.541043333852691,-0.532174837939591
112,-0.552320371366695,-0.573804157514834
113,-0.529080665768999,-0.52554818819484
114,0.186706316914786,0.19134966461083
115,-0.42392935947038,-0.346934622441118
211,0.212630497026187,0.106382454418603
212,-0.380652192133948,-0.440889015541214
213,-0.0719164648855195,-0.0996409809777697
221,0.182182475295578,0.153084532777574
311,-0.28973737605495,-0.304808969653334
312,0.0454892200914757,0.0287265807196655
313,-0.221773311006291,-0.130910168812395
314,-0.27643722753291,-0.438656152089838
315,-0.306620265956072,-0.19479111889485
316,-0.0049994372980734,-0.0290524818265149
321,-0.401868750088198,-0.381143036454464
322,-0.21265813827432,-0.209275669108744
323,0.125495459089245,0.0420458824514645
324,0.133155578374387,0.0491625910511577
325,0.295680078605325,0.336477140851724
326,-0.158961220285125,-0.0969710933814386
327,-0.209065438304527,-0.195934848180877
331,-0.251087344292782,-0.229152990970335
332,-0.172870786018538,-0.15761407695642
333,0.061663138837951,0.116062663972841
334,0.626889091202172,0.613365191897887
335,0.0718276461679636,0.132493238352596
336,0.0377629095630283,0.0527662947329311
337,-0.34696055811993,-0.374696293622739
339,0.173189942419957,0.156600318824079
423,0.528026364615417,0.535691637599314
424,0.317742335760042,0.303716266007243
425,0.974998387525508,0.797867656553941
441,0.0375583566842976,0.0448765242319982
442,0.166989832969805,0.17652265847486
443,0.445608081144334,0.418590143255527
444,0.111775426313379,0.0827134094773646
445,-0.155463703452723,-0.183329612424671
446,0.19282030960713,0.217276998278923
447,-0.0971558655734821,-0.142342558012115
448,0.23459742872249,0.249762481056921
451,0.186848534346447,0.226147727234137
452,-0.0591981669019125,-0.0665954359329841
453,0.185763693783532,0.188376515868684
454,0.21337224678939,0.237320234336496
481,2.61824581397055e-05,0.0544063044147222
482,-0.368638706501,-0.323942354949873
483,-0.138560070237966,-0.00525671057713835
484,-0.326234646397193,-0.320356002926298
485,-0.361277227111042,-0.354451843352887
486,-0.0817590766476579,-0.197885695171083
487,0.106365664768719,0.017680810372904
488,0.0101084349872863,-0.0210626705796228
491,-0.158921786078687,-0.18713416349452
492,-0.331723276848161,-0.317009688238259
493,-0.57267410685655,-0.49047075880556
511,1.23809442438414,1.25365750662152
512,0.323256929310072,0.330568163092273
515,0.86931979088474,0.924515684253457
517,0.699610808856283,0.643598939247603
518,1.42048819762847,1.38402610170814
519,1.12379202732843,1.26934378712691
522,1.08545491890995,1.0745201782551
523,1.08325688269083,1.07438371415055
524,1.00688107932366,0.994602803141759
531,0.470037918486645,0.458847320998331
532,0.388667410596836,0.259471371204516
541,1.02721465561669,1.03029119606774
551,0.96389749467405,0.945352960687402
561,-0.255362022294491,-0.223638777536313
562,-0.246484169935899,-0.267082567469327
611,0.360262097483788,0.359701939410023
621,0.0669253703979687,0.0749783495520436
622,0.0784803309206615,0.0651280170851669
623,-0.370366877790872,-0.388546484919084
624,0.105018607778111,0.0996478131694392
711,0.440803544444023,0.419070661473091
712,0.146225214823035,0.068954674627376
713,-0.128798650788151,-0.125006926294547
721,-0.193209280036077,-0.277715414630074
722,-0.38181787940012,-0.354730924414179
811,-0.543447270794468,-0.524183547630272
812,-0.480548548176921,-0.456278313311146
813,0.502444304826952,0.472162427640016
814,-0.980532222893099,-0.989816296265323
921,0.682770658736046,0.685705621126005
923,0.574352309026582,0.554975828899303
928,0.608727884578714,0.644440099737778
